index,q_id,q_status,q_date,prop_date,on_date,wd_date,IA_status_raw,IA_status_clean,County,state,region,utility,entity,developer,cluster,service,project_type,type1,mw1,type_clean,q_year,prop_year,q_month,q_day,q_dayofweek,Biomass_x,Geothermal_x,Small Hydro_x,Solar Photovoltaic_x,Solar Thermal_x,Wind_x,Total_x,Biomass_GWh,Geothermal_GWh,Small Hydro_GWh,Solar Photovoltaic_GWh,Solar Thermal_GWh,Wind_GWh,Total_GWh,Biomass_gen,Geothermal_gen,Small Hydro_gen,Solar Photovoltaic_gen,Solar Thermal_gen,Wind_gen,Total_gen (GWh)
13531,1063,withdrawn,2018-08-16,2019-09-30,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,ERIS,Generation,Solar,5.0,Solar,2018.0,2019.0,8,16,3,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
13923,288,withdrawn,2009-09-21,2009-06-01,,,"IA signed 2/5/2010, IA terminated 7/26/18",IA Executed,Siskiyou,CA,West,PacifiCorp,PacifiCorp,"Growpro, Incorporated",,NRIS,Generation,Gas,0.075,Gas,2009.0,2009.0,9,21,0,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
13985,328,withdrawn,2010-04-05,2012-04-01,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,NRIS,Generation,Other,10.0,Other,2010.0,2012.0,4,5,0,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
14104,431,withdrawn,2012-07-19,2013-10-01,,,REMOVED-LACK OF PROGRESS,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,ERIS,Generation,Geothermal,12.0,Geothermal,2012.0,2013.0,7,19,3,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
14123,449,withdrawn,2012-12-05,2013-01-01,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,NRIS,Generation,Hydro,0.1,Hydro,2012.0,2013.0,12,5,2,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
14176,497,operational,2013-06-13,2014-01-01,,,"IA signed December 9, 2013",IA Executed,Siskiyou,CA,West,PacifiCorp,PacifiCorp,"Hayward Paul Luckey, Sr.",,NRIS,Generation,Hydro,0.036,Hydro,2013.0,2014.0,6,13,3,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
14224,54,operational,2005-04-21,2006-06-01,,,"IA signed June 30, 2006",IA Executed,Siskiyou,CA,West,PacifiCorp,PacifiCorp,Roseburg Forest Products Inc.,,NRIS,Generation,Other,10.0,Other,2005.0,2006.0,4,21,3,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
14367,669,withdrawn,2015-05-06,2016-11-15,,,WITHDRAWN BY CUSTOMER,Withdrawn,Siskiyou,CA,West,PacifiCorp,PacifiCorp,,,NRIS,Generation,Solar,2.0,Solar,2015.0,2016.0,5,6,2,13,0,72,0,0,0,86,113.88,0.0,630.72,0.0,0.0,0.0,753.36,34,0,232,0,0,0,266
24652,1,withdrawn,2019-09-20,2023-12-01,,,,Feasibility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Solar,200.0,Solar,2019.0,2023.0,9,20,4,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24656,13,withdrawn,2021-09-24,2024-12-31,,,,Facility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,200.0,Battery,2021.0,2024.0,9,24,4,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24657,14,withdrawn,2021-11-01,2024-12-31,,,,Feasibility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,100.0,Battery,2021.0,2024.0,11,1,0,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24660,17,withdrawn,2022-01-27,2025-04-01,,,,Facility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,200.0,Battery,2022.0,2025.0,1,27,3,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24661,18,withdrawn,2022-03-15,2024-12-31,,,,System Impact Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,200.0,Battery,2022.0,2024.0,3,15,1,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24662,19,withdrawn,2022-05-04,2025-12-31,,,,System Impact Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,120.0,Battery,2022.0,2025.0,5,4,2,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24663,2,withdrawn,2019-10-01,2023-12-31,,,,Feasibility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Solar,400.0,Solar,2019.0,2023.0,10,1,1,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24665,21,withdrawn,2022-07-15,2027-12-01,,,,Facility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,230.0,Battery,2022.0,2027.0,7,15,4,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24667,23,withdrawn,2022-08-17,2027-10-01,,,,Facility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,250.0,Battery,2022.0,2027.0,8,17,2,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24668,24,withdrawn,2022-08-17,2028-06-01,,,,Facility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,250.0,Battery,2022.0,2028.0,8,17,2,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24673,29,withdrawn,2022-12-12,2025-07-25,,,,System Impact Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Battery,100.0,Battery,2022.0,2025.0,12,12,0,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24678,6,withdrawn,2020-11-03,2023-12-31,,,,System Impact Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Solar,60.0,Solar+Battery,2020.0,2023.0,11,3,1,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24679,7,withdrawn,2020-11-03,2023-12-31,,,,Feasibility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Solar,200.0,Solar+Battery,2020.0,2023.0,11,3,1,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
24681,9,withdrawn,2021-03-16,2023-12-31,,,,Feasibility Study,Sacramento,CA,West,Sacramento Municipal Utility District,SMUD,,,,Generation,Solar,360.0,Solar+Battery,2021.0,2023.0,3,16,1,15,0,14,313,0,0,342,131.4,0.0,122.64,2741.88,0.0,0.0,2995.92,107,0,46,526,0,0,679
29588,2015-G1,withdrawn,2015-01-26,2020-10-01,,,Mutual agreement to withdraw due to no feasible interconnection solution at O'Neill.,Withdrawn,Merced,CA,West,WAPA Sierra Nevada,WAPA-SN,,,,Generation,Solar,26.0,Solar,2015.0,2020.0,1,26,0,13,0,31,342,0,18,404,113.88,0.0,271.56,2995.92,0.0,157.68,3539.04,51,0,12,843,0,10,916
29590,2017-G2,withdrawn,2017-09-19,2021-12-01,,,Withdrawn due to lack of available customer funding to perform FS.,Withdrawn,Contra Costa,CA,West,WAPA Sierra Nevada,WAPA-SN,,,,Generation,Solar,100.0,Solar+Battery,2017.0,2021.0,9,19,1,7,0,0,48,0,38,92,61.32,0.0,0.0,420.48,0.0,332.88,805.92,24,0,0,70,0,99,194
29593,2022-G1,withdrawn,2022-10-07,2025-12-31,,,Customer withdrawl via email on 3/1/23.,Withdrawn,Sutter,CA,West,WAPA Sierra Nevada,WAPA-SN,,,NRIS/ERIS,Generation,Solar,300.0,Solar+Battery,2022.0,2025.0,10,7,4,0,0,0,3,0,0,3,0.0,0.0,0.0,26.28,0.0,0.0,26.28,0,0,0,4,0,0,4
29596,2023-G3,withdrawn,2023-03-24,2026-02-01,,,Customer withdrawl via email on 4/24/23.,Withdrawn,San Joaquin,CA,West,WAPA Sierra Nevada,WAPA-SN,,,NRIS/ERIS,Generation,Solar,100.0,Solar+Battery,2023.0,2026.0,3,24,4,59,0,11,34,0,4,107,516.84,0.0,96.36,297.84,0.0,35.04,937.32,410,0,11,51,0,4,477
35444,1030,withdrawn,2014-04-30,2021-04-15,,2020-05-27,Executed,IA Executed,Fresno,CA,CAISO,PGAE,CAISO,,C07,ERIS,Generation,Solar,15.0,Solar+Battery,2014.0,2021.0,4,30,2,56,0,35,1010,0,0,1101,490.56,0.0,306.6,8847.6,0.0,0.0,9644.76,138,0,19,2173,0,0,2330
35445,1041,withdrawn,2014-04-30,2015-06-01,,2015-01-22,,System Impact Study,Imperial,CA,CAISO,SDGE,CAISO,,C07,NRIS,Generation,Solar,20.0,Solar+Battery,2014.0,2015.0,4,30,2,0,717,93,2058,0,265,3134,0.0,6280.92,814.68,18028.08,0.0,2321.4,27453.84,0,3472,228,4701,0,363,8763
35446,1044,withdrawn,2014-04-30,2019-06-01,,2014-07-09,,System Impact Study,San Diego,CA,CAISO,SDGE,CAISO,,C07,NRIS,Generation,Gas,448.0,Gas+Battery,2014.0,2019.0,4,30,2,30,0,12,153,0,182,378,262.8,0.0,105.12,1340.28,0.0,1594.32,3311.28,137,0,39,358,0,499,1033
35447,1051,withdrawn,2014-04-30,2019-06-01,,2015-01-26,,System Impact Study,San Diego,CA,CAISO,SDGE,CAISO,,C07,NRIS,Generation,Solar,90.0,Solar+Battery,2014.0,2019.0,4,30,2,30,0,12,153,0,182,378,262.8,0.0,105.12,1340.28,0.0,1594.32,3311.28,137,0,39,358,0,499,1033
