Project #,Project # in Queued Up,Queue Date,Balancing Authority,BA,State,County,Upgrade of Existing Generator,Latitude of POI,Longitude of POI,Substation Newly Built,POI Transmission Line,Transmission Voltage,Study Type,Study Date,Study Year,Restudy,Revision of Study,Fuel,Nameplate MW,Request Status,Service Type,$2024 POI Cost/kW,$2024 Network Cost/kW,$2024 Total Cost/kW
G0700,G0700,9/22/21,Bonneville Power Administration,BPA,OR,Crook,N,44.12758,-119.86728,N,,230,Feasibility,6/25/24,2024,N,N,Solar,600,Active,NRIS,5.95,0,5.95
G0701,G0701,9/22/21,Bonneville Power Administration,BPA,OR,Crook,N,44.12758,-119.86728,N,,230,Feasibility,6/25/24,2024,N,N,Solar,600,Active,NRIS,5.95,0,5.95
G0702,G0702,9/22/21,Bonneville Power Administration,BPA,OR,Crook,N,44.12758,-119.86728,N,,230,Feasibility,6/25/24,2024,N,N,Solar,600,Active,NRIS,5.95,0,5.95
39128-01,,,Duke Energy Carolinas,DEC,NC,Burke,N,35.7428,-81.8372,N,,100,Facility,10/19/07,2007,N,Y,Hydro,31.5,Unknown,,103.46,0,103.46
39176-02,,,Duke Energy Carolinas,DEC,SC,Anderson,N,34.6017,-82.4343,N,,100,Feasibility,8/16/07,2007,N,N,Other,932,Unknown,,0,78.06,78.06
39176-03,,,Duke Energy Carolinas,DEC,NC,Rockingham,N,36.487,-79.718,N,,230,Feasibility,7/27/07,2007,N,N,Gas,932,Unknown,,0,105.32,105.32
39176-04,,,Duke Energy Carolinas,DEC,NC,Rockingham,N,36.487,-79.718,N,,100,Feasibility,7/27/07,2007,N,N,Gas,932,Unknown,,0,119.89,119.89
39258-01,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.1573,-81.4335,N,,230,Facility,7/28/08,2008,N,N,Gas,717,Unknown,ERIS,3.56,1.24,4.8
39421-01,,,Duke Energy Carolinas,DEC,NC,Salisbury,N,35.7232,-80.6012,N,,500,Feasibility,4/23/08,2008,N,Y,Other,711,Unknown,ERIS,4.98,10.17,15.15
39540-01,,,Duke Energy Carolinas,DEC,NC,Summerfield,N,,,Y,Belews Creek/Pleasant Garden ,230,Feasibility,8/27/08,2008,N,N,Other,457.5,Unknown,ERIS,30.93,0.99,31.93
39258-01,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.1573,-81.4335,N,,230,Facility,7/28/08,2008,N,N,Gas,717,Unknown,NRIS,3.56,147.48,151.04
39421-01,,,Duke Energy Carolinas,DEC,NC,Salisbury,N,35.7232,-80.6012,N,,500,Feasibility,4/23/08,2008,N,Y,Other,711,Unknown,NRIS,4.98,196.89,201.86
39540-01,,,Duke Energy Carolinas,DEC,NC,Summerfield,N,,,Y,Belews Creek/Pleasant Garden ,230,Feasibility,8/27/08,2008,N,N,Other,457.5,Unknown,NRIS,30.93,0.99,31.93
39470-01,,,Duke Energy Carolinas,DEC,NC,Guilford,N,,,Y,Archdale,100,Facility,10/8/09,2009,N,N,Gas,244,Unknown,FERC,33.35,0,33.35
39478-01,,,Duke Energy Carolinas,DEC,NC,Gaston,N,,,Y,Sampson,230,Facility,7/8/10,2010,N,Y,Gas,244,Unknown,,51.83,3.59,55.42
39610-01,,,Duke Energy Carolinas,DEC,NC,Rockingham,N,36.331,-79.832,N,,230,System Impact,10/22/10,2010,N,N,Other,700,Unknown,NRIS,15.54,80.4,95.94
39727-01,,,Duke Energy Carolinas,DEC,NC,Rockingham,N,36.487,-79.718,N,,100,Facility,11/11/10,2010,Y,Y,Gas,727,Unknown,,19.19,68.23,87.43
39829-01,,,Duke Energy Carolinas,DEC,NC ,Rowan,N,35.7232,-80.6012,N,,500,System Impact,3/8/10,2010,N,N,Other,714,Unknown,ERIS,0,4.86,4.86
39919-01,,,Duke Energy Carolinas,DEC,NC,Cleveland,N,35.1573,-81.4335,N,,230,Feasibility,4/30/10,2010,N,N,Other,73,Unknown,ERIS,0,7.45,7.45
39829-01,,,Duke Energy Carolinas,DEC,NC ,Rowan,N,35.7232,-80.6012,N,,500,System Impact,3/8/10,2010,N,N,Other,714,Unknown,NRIS,0,149.99,149.99
39919-01,,,Duke Energy Carolinas,DEC,NC,Cleveland,N,35.1573,-81.4335,N,,230,Feasibility,4/30/10,2010,N,N,Other,356,Unknown,NRIS,0,97.85,97.85
40577-01,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,,,Y,Oconee - Newport,"230, 525",Facility,12/14/11,2011,N,Y,Nuclear,2344,Unknown,,107.32,60.95,168.27
40639-01,,,Duke Energy Carolinas,DEC,NC,Cleveland,N,35.172,-81.408,Y,Sampson,230,Facility,3/28/12,2012,N,Y,Gas,937,Unknown,,16.1,23.2,39.3
40639-01,,,Duke Energy Carolinas,DEC,NC,Cleveland,N,35.172,-81.408,Y,Sampson,230,Facility,3/28/12,2012,N,Y,Gas,937,Unknown,,16.1,23.2,39.3
40975-02,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,Y,Ashbury,500,Feasibility,6/3/12,2012,N,N,Gas,776,Unknown,NRIS,61.79,77.89,139.68
State Jurisdictional 2012,,,Duke Energy Carolinas,DEC,NC,Davie,N,,,,,,Feasibility,12/5/12,2012,N,N,Solar,30,Unknown,NRIS,0,242.16,242.16
40598-01,,,Duke Energy Carolinas,DEC,NC,Rowan,N,35.7232,-80.6012,N,,525,Facility,5/4/12,2012,N,Y,Gas,937,Unknown,ERIS,12.08,0,12.08
41037-01,,,Duke Energy Carolinas,DEC,NC,Union,N,,,N,Monroe Tie - Lancaster Main,,System Impact,12/7/12,2012,N,N,Solar,40,Unknown,ERIS,161.64,0,161.64
40598-01,,,Duke Energy Carolinas,DEC,NC,Rowan,N,35.7232,-80.6012,N,,525,Facility,5/4/12,2012,N,Y,Gas,937,Unknown,NRIS,12.08,195.59,207.67
41037-01,,,Duke Energy Carolinas,DEC,NC,Union,N,,,N,Monroe Tie - Lancaster Main,,System Impact,12/7/12,2012,N,N,Solar,40,Unknown,NRIS,161.64,0,161.64
40975-01,17105,3/7/12,Duke Energy Carolinas,DEC,SC,Anderson,N,,,Y,"New, Broadway, Toxaway",100,Facility,1/17/13,2013,N,Y,Gas,776,Withdrawn,NRIS,19.3,32.55,51.86
41435-01,,,Duke Energy Carolinas,DEC,NC,Forsyth,N,,,N,Beckerdite Tie,230,Feasibility,9/12/13,2013,N,N,Other,875,Unknown,NRIS,0,81.31,81.31
State Jurisdictional 2013 Rutherford County Site A,,,Duke Energy Carolinas,DEC,NC,Rutherford,N,,,Y,,100,Feasibility,4/11/13,2013,N,N,Other,79.2,Unknown,NRIS,20.36,17.21,37.56
41219-01,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,Y,,100,Facility,5/6/14,2014,N,Y,Gas,776,Unknown,NRIS,25.08,34.33,59.41
41639-01,17114,12/31/13,Duke Energy Carolinas,DEC,NC,Cleveland,N,,,Y,Sampson,230,Facility,12/8/14,2014,N,N,Gas,452,Complete,NRIS,41.18,23.05,64.23
41219-02,,,Duke Energy Carolinas,DEC,SC,Anderson,N,34.4386,-82.6681,N,,230,Facility,6/2/14,2014,N,N,Gas,754,Unknown,ERIS,3.22,0,3.22
41219-02,,,Duke Energy Carolinas,DEC,SC,Anderson,N,34.4386,-82.6681,N,,230,Facility,6/2/14,2014,N,N,Gas,754,Unknown,NRIS,3.22,81.8,85.02
42166-01,,,Duke Energy Carolinas,DEC,NC,Rockingham,N,,,Y,Motley,100,Optional,10/15/15,2015,N,N,Other,90,Unknown,NRIS,27.83,503.95,531.77
42432-01,17115,3/3/16,Duke Energy Carolinas,DEC,NC,Rockingham,N,36.331,-79.832,N,,230,Facility,10/25/17,2017,N,N,Gas,477,Suspended,NRIS,13.85,153.38,167.23
42482-01,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Greenwood White,100,System Impact,7/11/17,2017,N,Y,Other,38.4,Unknown,ERIS,52.89,705.17,758.06
42544-01,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton,100,System Impact,7/11/17,2017,N,Y,Other,72,Unknown,ERIS,56.41,827.4,883.81
42872-01,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,Y,W Norwood Retail Tap,100,System Impact,12/14/17,2017,N,N,Solar,50,Unknown,ERIS,54.16,56.86,111.02
42482-01,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Greenwood White,100,System Impact,7/11/17,2017,N,Y,Other,38.4,Unknown,NRIS,52.89,705.17,758.06
42544-01,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton,100,System Impact,7/11/17,2017,N,Y,Other,72,Unknown,NRIS,56.41,827.4,883.81
42872-01,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,Y,W Norwood Retail Tap,100,System Impact,12/14/17,2017,N,N,Solar,50,Unknown,NRIS,54.16,56.86,111.02
42690-01,9409,11/16/16,Duke Energy Carolinas,DEC,NC,Gaston,N,35.327,-81.339,Y,Willow,44,Facility,1/26/18,2018,N,Y,Solar,25,Complete,,91.42,851.01,942.42
42696-01,17116,11/22/16,Duke Energy Carolinas,DEC,NC,Catawba,N,,,Y,,100,Facility,5/11/18,2018,N,Y,Solar,69.3,Complete,,34.81,15.88,50.68
42858-01,,,Duke Energy Carolinas,DEC,SC,Newberry,N,,,Y,Champion,100,Facility,6/22/18,2018,N,N,Solar,44.4,Unknown,,55.17,22.44,77.61
42893-01,9588,6/7/17,Duke Energy Carolinas,DEC,SC,Lancaster,N,,,Y,,44,Facility,5/16/18,2018,N,N,Solar,10,Withdrawn,,284.71,3036.21,3320.92
170906_1247,17327,9/6/17,Duke Energy Carolinas,DEC,NC,Rowan,N,,,N,Mocksville Wh,100,Feasibility,5/4/18,2018,N,N,Solar,85,Withdrawn,ERIS,38.93,38.93,77.86
170907_1535,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,Y,Albemarle Bl/Wh,100,Feasibility,5/4/18,2018,N,N,Solar,120,Unknown,ERIS,66.18,3.31,69.49
170925_1443,,,Duke Energy Carolinas,DEC,NC,Union,N,,,N,Monroe Bl,100,Feasibility,8/7/18,2018,N,N,Solar,71,Unknown,ERIS,46.61,755.01,801.62
170926_1010,17512,9/26/17,Duke Energy Carolinas,DEC,NC,Cabarrus,N,,,N,Buck ,100,Feasibility,3/6/18,2018,N,N,Solar,35,Withdrawn,ERIS,94.54,151.27,245.81
170926_1056,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,N,Oakboro,100,Feasibility,3/6/18,2018,N,N,Solar,30,Unknown,ERIS,110.3,83.83,194.13
171031_1350,18183,10/31/17,Duke Energy Carolinas,DEC,SC,Anderson,N,,,Y,Broadway Black or white,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,ERIS,44.18,192.62,236.8
171117_1113,,,Duke Energy Carolinas,DEC,NC,Rutherford,N,,,Y,Logan,100,Feasibility,9/14/18,2018,N,N,Solar,75,Unknown,ERIS,44.12,681.21,725.33
171206_1532,19033,12/6/17,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Coronaca,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,ERIS,44.18,332.23,376.4
171215_1059,19228,12/15/17,Duke Energy Carolinas,DEC,SC,Greenville,N,,,Y,Rabon White,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,ERIS,44.18,721,765.18
180130_0836,19909,1/30/18,Duke Energy Carolinas,DEC,SC ,Chester,N,,,Y,"Red River 1, Red River 2",44,Feasibility,12/17/18,2018,N,N,Solar,31.1,Withdrawn,ERIS,212.8,1655.57,1868.36
42947-01,,,Duke Energy Carolinas,DEC,NC,Union,N,,,Y,Indian Trail Bl/Wh,100,Feasibility,2/19/18,2018,N,Y,Solar,150,Withdrawn,ERIS,52.94,2.65,55.59
42951-01,,,Duke Energy Carolinas,DEC,SC,Newberry,N,,,N,Kinards,44,System Impact,5/21/18,2018,N,N,Solar,30.9,Unknown,ERIS,107.09,1217.37,1324.46
170906_1247,17327,9/6/17,Duke Energy Carolinas,DEC,NC,Rowan,N,,,N,Mocksville Wh,100,Feasibility,5/4/18,2018,N,N,Solar,120,Withdrawn,NRIS,27.58,188.61,216.19
170907_1535,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,Y,Albemarle Bl/Wh,100,Feasibility,5/4/18,2018,N,N,Solar,120,Unknown,NRIS,66.18,3.31,69.49
170925_1443,,,Duke Energy Carolinas,DEC,NC,Union,N,,,N,Monroe Bl,100,Feasibility,8/7/18,2018,N,N,Solar,71,Unknown,NRIS,46.61,941.44,988.04
170926_1010,17512,9/26/17,Duke Energy Carolinas,DEC,NC,Cabarrus,N,,,N,Buck ,100,Feasibility,3/6/18,2018,N,N,Solar,35,Withdrawn,NRIS,94.54,151.27,245.81
170926_1056,,,Duke Energy Carolinas,DEC,NC,Stanly,N,,,N,Oakboro,100,Feasibility,3/6/18,2018,N,N,Solar,30,Unknown,NRIS,110.3,83.83,194.13
171031_1350,18183,10/31/17,Duke Energy Carolinas,DEC,SC,Anderson,N,,,Y,Broadway Black or white,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,NRIS,44.18,860.61,904.79
171117_1113,,,Duke Energy Carolinas,DEC,NC,Rutherford,N,,,Y,Logan,100,Feasibility,9/14/18,2018,N,N,Solar,75,Unknown,NRIS,44.12,765.92,810.04
171206_1532,19033,12/6/17,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Coronaca,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,NRIS,44.18,332.23,376.4
171215_1059,19228,12/15/17,Duke Energy Carolinas,DEC,SC,Greenville,N,,,Y,Rabon White,100,Feasibility,9/13/18,2018,N,N,Solar,74.9,Withdrawn,NRIS,44.18,1388.99,1433.17
180130_0836,19909,1/30/18,Duke Energy Carolinas,DEC,SC ,Chester,N,,,Y,"Red River 1, Red River 2",44,Feasibility,12/17/18,2018,N,N,Solar,50,Withdrawn,NRIS,132.36,1387.14,1519.5
42947-01,,,Duke Energy Carolinas,DEC,NC,Union,N,,,Y,Indian Trail Bl/Wh,100,Feasibility,2/19/18,2018,N,Y,Solar,150,Withdrawn,NRIS,52.94,2.65,55.59
42951-01,,,Duke Energy Carolinas,DEC,SC,Newberry,N,,,N,Kinards,44,System Impact,5/21/18,2018,N,N,Solar,38.5,Unknown,NRIS,85.95,1114.58,1200.52
170831_0837,17278,8/31/17,Duke Energy Carolinas,DEC,NC,Rockingham,N,,,N,Dan River Wh,100,System Impact,4/5/19,2019,N,N,Solar,55,Withdrawn,ERIS,59.17,1001.17,1060.34
170914_1054,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Clark Hill ,115,System Impact,11/11/19,2019,N,Y,Solar,48.4,Unknown,ERIS,100.86,2288.82,2389.68
171115_1436,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Wilson Creek,44,System Impact,11/20/19,2019,N,Y,Solar,32,Unknown,ERIS,142.38,188.14,330.52
171121_1407,,,Duke Energy Carolinas,DEC,SC,Chester,N,,,N,Landsford,100,System Impact,8/9/19,2019,N,N,Solar,69.75,Unknown,ERIS,55.99,74.65,130.64
180214_1604,20154,2/14/18,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Rabon Wh,100,Feasibility,3/25/19,2019,N,N,Solar,74.9,Withdrawn,ERIS,43.45,693.46,736.91
180314_1203,,,Duke Energy Carolinas,DEC,NC,Davie,N,,,N,Bear Creek,44,System Impact,5/10/19,2019,N,N,Solar,30,Unknown,ERIS,108.48,182.25,290.72
180626_1518,,,Duke Energy Carolinas,DEC,NC,Rowan,N,,,N,Albemarle,100,System Impact,5/10/19,2019,N,N,Solar,69,Unknown,ERIS,47.16,77.35,124.52
170831_0837,17278,8/31/17,Duke Energy Carolinas,DEC,NC,Rockingham,N,,,N,Dan River Wh,100,System Impact,4/5/19,2019,N,N,Solar,55,Withdrawn,NRIS,59.17,1001.17,1060.34
170914_1054,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Clark Hill ,115,System Impact,11/11/19,2019,N,Y,Solar,75,Unknown,NRIS,65.09,1485.73,1550.82
171115_1436,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Wilson Creek,44,System Impact,11/20/19,2019,N,Y,Solar,32,Unknown,NRIS,142.38,188.14,330.52
171121_1407,,,Duke Energy Carolinas,DEC,SC,Chester,N,,,N,Landsford,100,System Impact,8/9/19,2019,N,N,Solar,69.75,Unknown,NRIS,55.99,326.6,382.59
180214_1604,20154,2/14/18,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Rabon Wh,100,Feasibility,3/25/19,2019,N,N,Solar,74.9,Withdrawn,NRIS,43.45,1350.42,1393.87
180314_1203,,,Duke Energy Carolinas,DEC,NC,Davie,N,,,N,Bear Creek,44,System Impact,5/10/19,2019,N,N,Solar,30,Unknown,NRIS,108.48,182.25,290.72
180626_1518,,,Duke Energy Carolinas,DEC,NC,Rowan,N,,,N,Albemarle,100,System Impact,5/10/19,2019,N,N,Solar,69,Unknown,NRIS,47.16,77.35,124.52
170901_1441,17306,9/1/17,Duke Energy Carolinas,DEC,NC,Davie ,N,,,Y,Tyro,230,System Impact,4/13/20,2020,N,N,Gas,1130,Withdrawn,NRIS,56.85,113.02,169.87
2019-05-06_13_42_00,35278,5/6/19,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Woodruff,44,System Impact,11/13/20,2020,N,N,Solar,42,Active,NRIS,114.71,250.84,365.55
42916-01,,,Duke Energy Carolinas,DEC,SC,Union,N,,,Y,Robar Bl - Pacolet Tie,100,Facility,1/13/20,2020,N,Y,Solar,30,Unknown,,101.1,1370.91,1472.01
42916-02,,,Duke Energy Carolinas,DEC,SC,Chester,N,34.771,-80.969,Y,Landsford Black,100,Facility,1/13/20,2020,N,Y,Solar,74.5,Unknown,,40.71,476.72,517.43
42916-02,,,Duke Energy Carolinas,DEC,SC,Chester,N,34.771,-80.969,Y,Landsford Black,100,Facility,1/13/20,2020,N,Y,Solar,74.5,Unknown,,40.71,114.83,155.54
180219_1028,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,N,Anderson,230,Feasibility,6/30/20,2020,N,N,Gas,1005,Unknown,ERIS,40.27,66.22,106.49
180620_0932,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,N,Central Bl,100,Feasibility,5/19/20,2020,N,N,Solar,74.9,Unknown,ERIS,64.33,58.32,122.65
190227_1538,,,Duke Energy Carolinas,DEC,SC,Spartanburg,N,,,Y,Kelsey Creek,230,Feasibility,7/13/20,2020,N,N,Other,568,Unknown,ERIS,56.55,0,56.55
190227_1539,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,,,Y,Goucha,230,Feasibility,7/13/20,2020,N,N,Other,568,Unknown,ERIS,56.55,1.36,57.91
190227_1540,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.0762,-81.5741,N,,230,Feasibility,7/16/20,2020,N,N,Other,568,Unknown,ERIS,27.14,1.36,28.5
2020-03-06_100300,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Greenwood,100,Feasibility,12/31/20,2020,N,N,Solar,40,Withdrawn,ERIS,136.51,693.79,830.3
2020-03-06_102100,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Clinton Wh,100,Feasibility,12/31/20,2020,N,N,Solar,37.5,Unknown,ERIS,145.61,1704.49,1850.1
2020-03-06_107200,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Clinton Bl,100,Feasibility,12/31/20,2020,N,N,Solar,12.7,Unknown,ERIS,429.95,7976.83,8406.78
180219_1028,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,N,Anderson,230,Feasibility,6/30/20,2020,N,N,Gas,1362,Unknown,NRIS,29.71,168.76,198.47
180620_0932,,,Duke Energy Carolinas,DEC,SC,Anderson,N,,,N,Central Bl,100,Feasibility,5/19/20,2020,N,N,Solar,74.9,Unknown,NRIS,64.33,58.32,122.65
190227_1538,,,Duke Energy Carolinas,DEC,SC,Spartanburg,N,,,Y,Kelsey Creek,230,Feasibility,7/13/20,2020,N,N,Other,568,Unknown,NRIS,56.55,33.93,90.48
190227_1539,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,,,Y,Goucha,230,Feasibility,7/13/20,2020,N,N,Other,568,Unknown,NRIS,56.55,45.69,102.24
190227_1540,,,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.0762,-81.5741,N,,230,Feasibility,7/16/20,2020,N,N,Other,568,Unknown,NRIS,27.14,63.79,90.93
2020-03-06_100300,,,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,N,Greenwood,100,Feasibility,12/31/20,2020,N,N,Solar,40,Withdrawn,NRIS,136.51,693.79,830.3
2020-03-06_102100,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Clinton Wh,100,Feasibility,12/31/20,2020,N,N,Solar,37.5,Unknown,NRIS,145.61,1704.49,1850.1
2020-03-06_107200,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Clinton Bl,100,Feasibility,12/31/20,2020,N,N,Solar,37.5,Unknown,NRIS,145.61,1704.49,1850.1
186466,186466,7/6/21,Duke Energy Carolinas,DEC,NC,Gaston,N,,,Y,Allen Black ,100,Facility,,2021,N,N,Storage,50,Active,,105.95,41.54,147.49
181220_1159,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,N,Clinton,100,System Impact,3/31/21,2021,N,N,Solar,20,Unknown,NRIS,261.05,3055.8,3316.85
180412_1645,20392,4/12/18,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.0762,-81.5741,N,,230,System Impact,6/30/21,2021,N,Y,Gas,324,Withdrawn,ERIS,7.58,0,7.58
2019-07-15_11_59_00,,,Duke Energy Carolinas,DEC,NC,Davidson,N,,,Y,Tyro,230,System Impact,6/30/21,2021,N,N,Other,531,Unknown,ERIS,50.9,69.4,120.3
2020-10-22_14_49_00,,,Duke Energy Carolinas,DEC,NC,Gaston,N,,,Y,Sampson,230,System Impact,6/30/21,2021,N,N,Other,325,Unknown,ERIS,83.16,0,83.16
2020-11-16 191900,,,Duke Energy Carolinas,DEC,NC,Surry,N,,,Y,Bannertown White,100,Feasibility,6/30/21,2021,N,N,Solar,80,Withdrawn,ERIS,65.26,511.35,576.61
180412_1645,20392,4/12/18,Duke Energy Carolinas,DEC,SC,Cherokee,N,35.0762,-81.5741,N,,230,System Impact,6/30/21,2021,N,Y,Gas,324,Withdrawn,NRIS,7.58,54.6,62.18
2019-07-15_11_59_00,,,Duke Energy Carolinas,DEC,NC,Davidson,N,,,Y,Tyro,230,System Impact,6/30/21,2021,N,N,Other,1379,Unknown,NRIS,19.6,94.43,114.03
2020-10-22_14_49_00,,,Duke Energy Carolinas,DEC,NC,Gaston,N,,,Y,Sampson,230,System Impact,6/30/21,2021,N,N,Other,325,Unknown,NRIS,83.16,143.64,226.79
2020-11-16 191900,,,Duke Energy Carolinas,DEC,NC,Surry,N,,,Y,Bannertown White,100,Feasibility,6/30/21,2021,N,N,Solar,80,Withdrawn,NRIS,65.26,511.35,576.61
SC2017-01133,16298,8/2/17,Duke Energy Carolinas,DEC,SC,Chester,N,,,Y,Chester,100,Phase 2,8/26/22,2022,N,N,Solar,39,Withdrawn,NRIS,100.05,210.76,310.81
10/9/18 3:35,23506,10/9/18,Duke Energy Carolinas,DEC,SC,Union,N,,,Y,Jordan,100,Phase 1,2/28/22,2022,N,N,Solar,74,Withdrawn,NRIS,46.06,292.23,338.3
11/21/17 0:00,48968,11/21/17,Duke Energy Carolinas,DEC,SC,Chester,N,,,Y,Landsford,100,Phase 2,8/26/22,2022,N,N,Solar,69.75,Active,NRIS,55.94,116.25,172.19
11/15/17 14:36,62756,11/15/17,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Wilson Creek,44,Phase 1,2/28/22,2022,N,N,Solar,32,Withdrawn,NRIS,106.52,616.26,722.77
4/29/16 0:01,66052,4/29/16,Duke Energy Carolinas,DEC,SC,Chester,N,,,Y,Landsford,100,Phase 2,8/26/22,2022,N,N,Solar,74.5,Withdrawn,NRIS,52.38,150.87,203.25
7/15/19 11:59,73054,7/15/19,Duke Energy Carolinas,DEC,NC,Davidson,N,,,Y,Tyro,230,Phase 1,2/28/22,2022,N,N,Gas,1359,Withdrawn,NRIS,0,159.39,159.39
3/9/20 22:02,126062,3/9/20,Duke Energy Carolinas,DEC,NC,Alamance,N,,,Y,Melville,44,Phase 2,8/26/22,2022,N,N,Solar,35,Active,NRIS,111.49,330.75,442.24
3/9/20 22:01,126066,3/9/20,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Thrush,100,Phase 2,8/26/22,2022,N,N,Solar,34,Active,NRIS,114.77,1005.38,1120.15
3/9/20 22:21,126078,3/9/20,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton,100,Phase 1,2/28/22,2022,N,N,Solar,40,Withdrawn,NRIS,85.21,2716.19,2801.4
3/6/20 10:21,164382,3/6/20,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton,100,Phase 2,8/26/22,2022,N,N,Solar,37.5,Active,NRIS,104.05,2437.96,2542.02
3/6/20 10:27,,,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton ,100,Phase 1,2/28/22,2022,N,N,Solar,37.5,Withdrawn,NRIS,90.89,2874.07,2964.97
6/22/22 12:58,566928,6/22/22,Duke Energy Carolinas,DEC,NC,Forsyth,N,36.279,-80.063,N,,230,Phase 2,5/22/22,2022,N,N,Solar,100,Withdrawn,NRIS,0,258.66,258.66
6/24/22 9:31,564376,6/24/22,Duke Energy Carolinas,DEC,SC,Laurens,N,,,Y,Clinton,230,Phase 1,11/23/22,2022,N,N,Solar,50,Withdrawn,NRIS,100.26,1754.68,1854.94
6/28/22 6:32,,,Duke Energy Carolinas,DEC,NC,Wilkes,N,,,Y,Ronda,44,Phase 2,5/22/22,2022,N,N,Solar,20,Withdrawn,NRIS,276.64,151.26,427.9
6/29/22 14:56,566014,6/29/22,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Florida 44 kV,44,Phase 2,5/22/22,2022,N,N,Solar,20,Withdrawn,NRIS,338.21,262.47,600.68
6/29/22 15:00,566468,6/29/22,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Clark Hill 115 kV,100,Phase 2,5/22/22,2022,N,N,Solar,74.9,Withdrawn,NRIS,59.8,395.34,455.14
5/31/22 14:41,561246,5/31/22,Duke Energy Carolinas,DEC,SC,Greenville,N,,,N,Feeder #74421203,,Phase 2,5/22/22,2022,N,N,Storage,6,Withdrawn,NRIS,23.91,584.92,608.83
6/27/22 12:22,567758,6/27/22,Duke Energy Carolinas,DEC,NC,Davidson,N,,,Y,Tyro,230,Phase 1,11/23/22,2022,N,N,Gas,452.9,Withdrawn,NRIS,0,267.52,267.52
6/29/22 15:12,569242,6/29/22,Duke Energy Carolinas,DEC,SC,Greenwood,N,,,Y,Clark Hill 115 kV,100,Phase 2,5/22/22,2022,N,N,Solar,74.9,Withdrawn,NRIS,59.79,395.34,455.13
6/23/22 15:17,568672,6/23/22,Duke Energy Carolinas,DEC,NC,Davie,N,,,Y,Marshall,230,Phase 1,11/23/22,2022,N,N,Solar,176.3,Withdrawn,NRIS,0,234.57,234.57
6/28/22 15:26,569756,6/28/22,Duke Energy Carolinas,DEC,SC,Newberry,N,,,Y,Champion,100,Phase 2,5/22/22,2022,N,N,Solar,48,Withdrawn,NRIS,99.27,167.96,267.24
